,Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,"Estimated enrollment, total","Estimated enrollment, full time","Estimated enrollment, part time","Estimated undergraduate enrollment, total","Estimated undergraduate enrollment, full time","Estimated undergraduate enrollment, part time","Estimated freshman undergraduate enrollment, total","Estimated freshman enrollment, full time","Estimated freshman enrollment, part time","Estimated graduate enrollment, total","Estimated graduate enrollment, full time","Estimated graduate enrollment, part time",Number of students receiving an Associate's degree,Percent admitted - total,Admissions yield - total,"Tuition and fees, 2010-11","Tuition and fees, 2011-12","Tuition and fees, 2012-13","Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,FIPS state code,Geographic region,Sector of institution,Level of institution,Control of institution,Historically Black College or University,Tribal college,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of total enrollment that are American Indian or Alaska Native,Percent of total enrollment that are Asian,Percent of total enrollment that are Black or African American,Percent of total enrollment that are Hispanic/Latino,Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,Percent of total enrollment that are White,Percent of total enrollment that are two or more races,Percent of total enrollment that are Race/ethnicity unknown,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of total enrollment that are women,Percent of undergraduate enrollment that are American Indian or Alaska Native,Percent of undergraduate enrollment that are Asian,Percent of undergraduate enrollment that are Black or African American,Percent of undergraduate enrollment that are Hispanic/Latino,Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of undergraduate enrollment that are White,Percent of undergraduate enrollment that are two or more races,Percent of undergraduate enrollment that are Race/ethnicity unknown,Percent of undergraduate enrollment that are Nonresident Alien,Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of undergraduate enrollment that are women,Percent of graduate enrollment that are American Indian or Alaska Native,Percent of graduate enrollment that are Asian,Percent of graduate enrollment that are Black or African American,Percent of graduate enrollment that are Hispanic/Latino,Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of graduate enrollment that are White,Percent of graduate enrollment that are two or more races,Percent of graduate enrollment that are Race/ethnicity unknown,Percent of graduate enrollment that are Nonresident Alien,Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of graduate enrollment that are women,Number of first-time undergraduates - in-state,Percent of first-time undergraduates - in-state,Number of first-time undergraduates - out-of-state,Percent of first-time undergraduates - out-of-state,Number of first-time undergraduates - foreign countries,Percent of first-time undergraduates - foreign countries,Number of first-time undergraduates - residence unknown,Percent of first-time undergraduates - residence unknown,"Graduation rate - Bachelor degree within 4 years, total","Graduation rate - Bachelor degree within 5 years, total","Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,Endowment assets (year end) per FTE enrollment (GASB),Endowment assets (year end) per FTE enrollment (FASB)
222,St Petersburg College,,,,,,,,,,,,,,31820.0,9118.0,22702.0,31820.0,9118.0,22702.0,4586.0,2032.0,2554.0,,,,3966.0,,,2822.0,2988.0,3172.0,3232.0,,,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Baccalaureate/Associate's Colleges,31820.0,9118.0,22702.0,31820.0,0.0,9118.0,22702.0,0.0,3.0,14.0,10.0,0.0,66.0,2.0,3.0,1.0,4.0,60.0,0.0,3.0,14.0,10.0,0.0,66.0,2.0,3.0,1.0,4.0,60.0,,,,,,,,,,,,4138.0,98.0,32.0,1.0,0.0,0.0,32.0,1.0,,,,81.0,75.0,58.0,58.0,5.0,31.0,21.0,32.0,32.0,0.0,1241.0,
223,University of South Florida-Main Campus,28512.0,12900.0,3904.0,56.0,44.0,530.0,620.0,550.0,640.0,510.0,610.0,23.0,28.0,42551.0,29963.0,12588.0,32202.0,24700.0,7502.0,3904.0,3860.0,44.0,10349.0,5263.0,5086.0,153.0,45.0,30.0,5198.0,5800.0,6334.0,6410.0,20760.0,31674.0,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Research Universities (very high research activity),41428.0,29437.0,11991.0,31100.0,10328.0,23734.0,7366.0,0.0,6.0,10.0,17.0,0.0,55.0,3.0,2.0,6.0,6.0,57.0,0.0,6.0,11.0,19.0,0.0,55.0,3.0,2.0,4.0,6.0,55.0,0.0,6.0,9.0,11.0,0.0,55.0,2.0,3.0,14.0,6.0,60.0,3190.0,85.0,253.0,7.0,262.0,7.0,31.0,1.0,36.0,57.0,63.0,98.0,96.0,42.0,42.0,8.0,86.0,70.0,45.0,44.0,1.0,9188.0,
224,St Thomas University,727.0,332.0,210.0,56.0,42.0,410.0,510.0,408.0,500.0,400.0,490.0,16.0,21.0,2283.0,1811.0,472.0,1033.0,969.0,64.0,197.0,196.0,1.0,1250.0,842.0,408.0,0.0,46.0,63.0,22770.0,23910.0,25110.0,26370.0,41649.0,41649.0,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Suburb: Large,Master's Colleges and Universities (larger programs),2315.0,1817.0,498.0,1035.0,1280.0,963.0,72.0,0.0,1.0,23.0,43.0,0.0,15.0,1.0,3.0,14.0,1.0,56.0,0.0,0.0,24.0,43.0,0.0,8.0,1.0,5.0,19.0,0.0,55.0,0.0,1.0,23.0,43.0,0.0,20.0,1.0,2.0,10.0,1.0,57.0,,,,,,,,,28.0,36.0,38.0,100.0,100.0,60.0,60.0,16.0,68.0,98.0,61.0,61.0,1.0,,6553.0
225,Stetson University,10509.0,6227.0,852.0,50.0,36.0,540.0,640.0,530.0,630.0,510.0,610.0,23.0,28.0,4044.0,3828.0,216.0,2729.0,2692.0,37.0,852.0,852.0,0.0,1315.0,1136.0,179.0,0.0,59.0,14.0,33424.0,35078.0,36644.0,38330.0,53712.0,53712.0,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Suburb: Midsize,Master's Colleges and Universities (larger programs),4044.0,3828.0,216.0,2729.0,1315.0,2692.0,37.0,0.0,2.0,7.0,13.0,0.0,67.0,4.0,2.0,4.0,2.0,56.0,0.0,2.0,8.0,14.0,0.0,65.0,4.0,1.0,5.0,2.0,57.0,0.0,2.0,4.0,12.0,0.0,72.0,2.0,4.0,3.0,2.0,54.0,,,,,,,,,56.0,63.0,64.0,100.0,100.0,35.0,34.0,20.0,66.0,100.0,70.0,69.0,7.0,,41755.0
226,Southeastern University,2124.0,1260.0,865.0,59.0,49.0,430.0,550.0,410.0,530.0,420.0,530.0,17.0,23.0,3434.0,2634.0,800.0,3083.0,2473.0,610.0,865.0,842.0,23.0,351.0,161.0,190.0,0.0,59.0,69.0,16430.0,17718.0,18596.0,19986.0,32234.0,32234.0,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Small,Baccalaureate Colleges--Diverse Fields,3434.0,2634.0,800.0,3083.0,351.0,2473.0,610.0,0.0,1.0,13.0,15.0,0.0,62.0,1.0,6.0,1.0,2.0,56.0,0.0,1.0,13.0,16.0,0.0,61.0,1.0,6.0,1.0,2.0,55.0,0.0,1.0,11.0,12.0,0.0,72.0,1.0,1.0,1.0,1.0,64.0,,,,,,,,,24.0,35.0,38.0,97.0,96.0,46.0,46.0,5.0,56.0,93.0,72.0,72.0,5.0,,2830.0
227,The University of Tampa,15345.0,8011.0,1592.0,75.0,47.0,480.0,570.0,500.0,580.0,480.0,560.0,21.0,26.0,7260.0,6450.0,810.0,6499.0,6188.0,311.0,1592.0,1590.0,2.0,761.0,262.0,499.0,2.0,52.0,20.0,23218.0,23976.0,25222.0,25772.0,39375.0,39375.0,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Large,Master's Colleges and Universities (larger programs),7260.0,6450.0,810.0,6499.0,761.0,6188.0,311.0,0.0,2.0,6.0,12.0,0.0,58.0,2.0,9.0,11.0,2.0,55.0,0.0,1.0,6.0,12.0,0.0,59.0,2.0,9.0,10.0,1.0,55.0,0.0,3.0,4.0,11.0,0.0,48.0,1.0,11.0,20.0,3.0,52.0,366.0,23.0,1091.0,69.0,135.0,8.0,0.0,0.0,51.0,60.0,61.0,95.0,93.0,21.0,21.0,9.0,22.0,92.0,73.0,73.0,6.0,,4130.0
228,Warner University,1264.0,427.0,179.0,39.0,53.0,410.0,490.0,410.0,500.0,,,17.0,21.0,1155.0,981.0,174.0,1036.0,892.0,144.0,179.0,173.0,6.0,119.0,89.0,30.0,49.0,34.0,42.0,15980.0,16660.0,17480.0,18430.0,29879.0,29879.0,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Rural: Fringe,Master's Colleges and Universities (smaller programs),1162.0,975.0,187.0,1043.0,119.0,888.0,155.0,0.0,1.0,40.0,12.0,0.0,43.0,1.0,1.0,2.0,1.0,54.0,0.0,1.0,40.0,12.0,0.0,43.0,1.0,1.0,2.0,1.0,52.0,0.0,0.0,39.0,7.0,0.0,46.0,1.0,3.0,4.0,0.0,68.0,164.0,92.0,10.0,6.0,3.0,2.0,2.0,1.0,26.0,40.0,40.0,99.0,98.0,73.0,72.0,14.0,88.0,86.0,87.0,87.0,2.0,,4235.0
229,Webber International University,944.0,602.0,207.0,63.0,64.0,330.0,530.0,342.0,547.0,,,17.0,24.0,715.0,671.0,44.0,667.0,633.0,34.0,207.0,207.0,0.0,48.0,38.0,10.0,3.0,64.0,34.0,18742.0,19670.0,20418.0,21050.0,37173.0,37173.0,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Town: Fringe,Baccalaureate Colleges--Diverse Fields,715.0,671.0,44.0,667.0,48.0,633.0,34.0,0.0,3.0,21.0,15.0,0.0,50.0,3.0,2.0,8.0,3.0,33.0,0.0,2.0,22.0,15.0,0.0,48.0,3.0,2.0,8.0,2.0,31.0,0.0,13.0,10.0,2.0,0.0,75.0,0.0,0.0,0.0,13.0,56.0,,,,,,,,,2.0,31.0,33.0,100.0,99.0,49.0,49.0,10.0,74.0,95.0,75.0,75.0,3.0,,6633.0
230,The University of West Florida,12347.0,5937.0,1333.0,59.0,78.0,460.0,570.0,460.0,560.0,440.0,540.0,21.0,26.0,12588.0,8183.0,4405.0,10158.0,7581.0,2577.0,1333.0,1316.0,17.0,2430.0,602.0,1828.0,141.0,48.0,22.0,4154.0,4701.0,6238.0,6357.0,19737.0,32618.0,Florida,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Doctoral/Research Universities,12588.0,8183.0,4405.0,10158.0,2430.0,7581.0,2577.0,1.0,3.0,12.0,8.0,0.0,68.0,4.0,1.0,3.0,3.0,59.0,1.0,3.0,13.0,9.0,0.0,67.0,4.0,1.0,2.0,3.0,57.0,1.0,3.0,12.0,6.0,0.0,73.0,2.0,0.0,3.0,4.0,64.0,1175.0,88.0,101.0,8.0,42.0,3.0,15.0,1.0,20.0,36.0,42.0,91.0,83.0,49.0,45.0,9.0,61.0,40.0,54.0,53.0,3.0,4664.0,
231,Agnes Scott College,1340.0,896.0,254.0,,,,,,,,,,,915.0,897.0,18.0,915.0,897.0,18.0,254.0,254.0,0.0,0.0,0.0,0.0,0.0,67.0,28.0,31283.0,32195.0,33461.0,34788.0,47323.0,47323.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,915.0,897.0,18.0,915.0,0.0,897.0,18.0,0.0,4.0,33.0,9.0,0.0,31.0,6.0,4.0,12.0,4.0,99.0,0.0,4.0,33.0,9.0,0.0,31.0,6.0,4.0,12.0,4.0,99.0,,,,,,,,,,,,121.0,48.0,92.0,37.0,39.0,15.0,0.0,0.0,66.0,70.0,72.0,100.0,100.0,54.0,54.0,4.0,51.0,100.0,76.0,76.0,17.0,,281391.0
232,Albany State University,8250.0,1643.0,501.0,70.0,56.0,420.0,480.0,400.0,470.0,,,17.0,20.0,4262.0,3244.0,1018.0,3662.0,3022.0,640.0,536.0,516.0,20.0,600.0,222.0,378.0,0.0,20.0,30.0,4592.0,5802.0,5912.0,6024.0,19590.0,31792.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,Yes,No,City: Small,Master's Colleges and Universities (medium programs),4260.0,3241.0,1019.0,3660.0,600.0,3019.0,641.0,0.0,0.0,89.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,68.0,0.0,0.0,90.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,66.0,0.0,0.0,79.0,0.0,0.0,17.0,0.0,2.0,2.0,0.0,79.0,503.0,97.0,17.0,3.0,0.0,0.0,0.0,0.0,16.0,35.0,42.0,99.0,91.0,82.0,81.0,12.0,32.0,16.0,93.0,93.0,15.0,485.0,
233,Armstrong Atlantic State University,3118.0,2182.0,1128.0,80.0,36.0,460.0,550.0,450.0,540.0,,,19.0,23.0,7112.0,5015.0,2097.0,6387.0,4712.0,1675.0,929.0,846.0,83.0,725.0,303.0,422.0,64.0,70.0,52.0,4510.0,4854.0,4942.0,5085.0,21373.0,31135.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Master's Colleges and Universities (larger programs),7101.0,4987.0,2114.0,6377.0,724.0,4684.0,1693.0,0.0,3.0,24.0,6.0,0.0,61.0,4.0,0.0,2.0,3.0,68.0,0.0,4.0,24.0,7.0,0.0,60.0,4.0,0.0,2.0,4.0,67.0,0.0,1.0,22.0,2.0,0.0,71.0,1.0,1.0,1.0,1.0,78.0,910.0,95.0,37.0,4.0,11.0,1.0,0.0,0.0,10.0,26.0,34.0,91.0,76.0,46.0,46.0,5.0,56.0,3.0,61.0,61.0,5.0,1417.0,
234,Point University,934.0,500.0,238.0,63.0,63.0,420.0,535.0,420.0,510.0,,,18.0,22.0,1439.0,1292.0,147.0,1439.0,1292.0,147.0,238.0,237.0,1.0,0.0,0.0,0.0,161.0,54.0,48.0,15880.0,16226.0,17400.0,17400.0,27400.0,27400.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Town: Distant,Baccalaureate Colleges--Diverse Fields,1439.0,1291.0,148.0,1439.0,0.0,1291.0,148.0,0.0,0.0,39.0,3.0,0.0,39.0,3.0,14.0,0.0,1.0,56.0,0.0,0.0,39.0,3.0,0.0,39.0,3.0,14.0,0.0,1.0,56.0,,,,,,,,,,,,,,,,,,,,33.0,47.0,48.0,95.0,89.0,56.0,56.0,11.0,64.0,78.0,89.0,89.0,6.0,,2402.0
235,Clark Atlanta University,5873.0,3336.0,781.0,60.0,50.0,390.0,470.0,380.0,470.0,,,17.0,21.0,3458.0,3044.0,414.0,2629.0,2514.0,115.0,781.0,767.0,14.0,829.0,530.0,299.0,0.0,57.0,23.0,17954.0,18912.0,19830.0,21100.0,35471.0,35471.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Yes,No,City: Large,Doctoral/Research Universities,3458.0,3044.0,414.0,2629.0,829.0,2514.0,115.0,0.0,0.0,87.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,75.0,0.0,0.0,87.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,75.0,0.0,1.0,86.0,0.0,0.0,1.0,0.0,6.0,6.0,1.0,73.0,215.0,28.0,563.0,72.0,0.0,0.0,3.0,0.0,21.0,35.0,39.0,98.0,83.0,69.0,69.0,13.0,18.0,44.0,89.0,88.0,13.0,,18051.0
236,Berry College,3901.0,2353.0,672.0,47.0,53.0,530.0,640.0,530.0,630.0,520.0,610.0,24.0,29.0,2223.0,2122.0,101.0,2141.0,2107.0,34.0,672.0,672.0,0.0,82.0,15.0,67.0,0.0,60.0,29.0,24620.0,26090.0,27650.0,29090.0,43834.0,43834.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Suburb: Small,Baccalaureate Colleges--Arts & Sciences,2223.0,2122.0,101.0,2141.0,82.0,2107.0,34.0,0.0,1.0,4.0,6.0,0.0,84.0,3.0,2.0,1.0,1.0,63.0,0.0,1.0,4.0,6.0,0.0,84.0,3.0,1.0,1.0,1.0,62.0,0.0,0.0,7.0,1.0,0.0,85.0,1.0,4.0,1.0,0.0,73.0,448.0,67.0,223.0,33.0,1.0,0.0,0.0,0.0,50.0,58.0,60.0,100.0,100.0,31.0,31.0,10.0,71.0,100.0,61.0,61.0,12.0,,409661.0
237,Brenau University,2160.0,1691.0,206.0,84.0,44.0,440.0,550.0,430.0,500.0,,,19.0,21.0,2854.0,1528.0,1326.0,1700.0,1074.0,626.0,206.0,202.0,4.0,1154.0,454.0,700.0,9.0,78.0,12.0,20130.0,21124.0,22168.0,23350.0,38528.0,38528.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Small,Master's Colleges and Universities (larger programs),2854.0,1528.0,1326.0,1700.0,1154.0,1074.0,626.0,0.0,2.0,32.0,6.0,0.0,51.0,2.0,3.0,3.0,3.0,85.0,0.0,2.0,31.0,6.0,0.0,51.0,3.0,4.0,3.0,2.0,89.0,0.0,3.0,34.0,5.0,0.0,50.0,2.0,2.0,3.0,4.0,79.0,,,,,,,,,30.0,40.0,45.0,97.0,97.0,57.0,57.0,20.0,85.0,96.0,80.0,80.0,11.0,,13894.0
238,Brewton-Parker College,475.0,244.0,150.0,75.0,51.0,400.0,490.0,410.0,500.0,370.0,480.0,17.0,20.0,700.0,500.0,200.0,700.0,500.0,200.0,152.0,150.0,2.0,,,,9.0,51.0,61.0,17130.0,13790.0,12670.0,13560.0,24786.0,24786.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Rural: Distant,Baccalaureate Colleges--Diverse Fields,693.0,503.0,190.0,693.0,0.0,503.0,190.0,0.0,1.0,24.0,3.0,0.0,53.0,1.0,16.0,2.0,1.0,46.0,0.0,1.0,24.0,3.0,0.0,53.0,1.0,16.0,2.0,1.0,46.0,,,,,,,,,,,,120.0,81.0,27.0,18.0,1.0,1.0,0.0,0.0,10.0,13.0,15.0,100.0,100.0,57.0,57.0,55.0,99.0,93.0,81.0,81.0,4.0,,27945.0
239,Clayton  State University,2046.0,976.0,545.0,71.0,44.0,440.0,520.0,420.0,510.0,420.0,500.0,18.0,21.0,7261.0,4071.0,3190.0,6894.0,3918.0,2976.0,565.0,477.0,88.0,367.0,153.0,214.0,43.0,48.0,56.0,4566.0,4926.0,5014.0,5153.0,18830.0,28592.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Large,Baccalaureate Colleges--Diverse Fields,7261.0,4092.0,3169.0,6893.0,368.0,3939.0,2954.0,0.0,5.0,62.0,1.0,0.0,23.0,3.0,4.0,1.0,5.0,70.0,0.0,5.0,62.0,1.0,0.0,23.0,3.0,4.0,1.0,5.0,70.0,0.0,4.0,57.0,1.0,0.0,26.0,3.0,0.0,9.0,4.0,65.0,552.0,96.0,10.0,2.0,16.0,3.0,0.0,0.0,9.0,22.0,29.0,94.0,82.0,70.0,70.0,1.0,38.0,8.0,76.0,76.0,3.0,686.0,
240,Columbus State University,3170.0,1757.0,1045.0,69.0,44.0,440.0,550.0,430.0,540.0,420.0,530.0,19.0,23.0,8160.0,5381.0,2779.0,7014.0,4977.0,2037.0,1056.0,969.0,87.0,1146.0,404.0,742.0,41.0,55.0,59.0,4996.0,5457.0,5357.0,5514.0,19620.0,29662.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Master's Colleges and Universities (larger programs),8156.0,5382.0,2774.0,7013.0,1143.0,4979.0,2034.0,0.0,2.0,35.0,5.0,0.0,53.0,3.0,0.0,1.0,2.0,59.0,1.0,2.0,36.0,5.0,0.0,52.0,3.0,0.0,1.0,2.0,59.0,0.0,2.0,30.0,3.0,0.0,59.0,2.0,0.0,4.0,2.0,56.0,947.0,85.0,153.0,14.0,17.0,2.0,0.0,0.0,12.0,24.0,31.0,93.0,82.0,52.0,52.0,1.0,51.0,13.0,65.0,64.0,4.0,6514.0,
241,Covenant College,1129.0,644.0,268.0,72.0,58.0,530.0,670.0,530.0,630.0,530.0,650.0,23.0,28.0,1173.0,1102.0,71.0,1104.0,1050.0,54.0,295.0,295.0,0.0,69.0,52.0,17.0,0.0,57.0,42.0,26226.0,27220.0,28270.0,29100.0,40330.0,40330.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Suburb: Large,Baccalaureate Colleges--Diverse Fields,1173.0,1102.0,71.0,1104.0,69.0,1050.0,54.0,1.0,2.0,3.0,2.0,0.0,89.0,1.0,0.0,2.0,2.0,57.0,1.0,2.0,3.0,2.0,0.0,89.0,2.0,0.0,2.0,2.0,56.0,0.0,0.0,0.0,1.0,0.0,93.0,0.0,0.0,6.0,0.0,75.0,,,,,,,,,48.0,57.0,58.0,100.0,98.0,32.0,32.0,9.0,26.0,96.0,62.0,62.0,3.0,,24117.0
242,Dalton State College,,,,,,,,,,,,,,5015.0,3048.0,1967.0,5015.0,3048.0,1967.0,1321.0,994.0,327.0,0.0,0.0,0.0,338.0,,,2522.0,3622.0,3732.0,3910.0,13970.0,21828.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Baccalaureate/Associate's Colleges,5015.0,3044.0,1971.0,5015.0,0.0,3044.0,1971.0,0.0,1.0,5.0,18.0,0.0,67.0,1.0,5.0,2.0,1.0,61.0,0.0,1.0,5.0,18.0,0.0,67.0,1.0,5.0,2.0,1.0,61.0,,,,,,,,,,,,883.0,92.0,15.0,2.0,67.0,7.0,0.0,0.0,8.0,17.0,21.0,93.0,88.0,65.0,65.0,2.0,64.0,2.0,26.0,26.0,0.0,2488.0,
243,Emmanuel College,876.0,419.0,156.0,93.0,11.0,410.0,510.0,420.0,530.0,,,,,806.0,702.0,104.0,806.0,702.0,104.0,156.0,153.0,3.0,,,,46.0,48.0,37.0,13520.0,14550.0,15700.0,16800.0,26400.0,26400.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Town: Distant,Baccalaureate Colleges--Diverse Fields,806.0,702.0,104.0,806.0,0.0,702.0,104.0,0.0,1.0,17.0,4.0,0.0,71.0,2.0,0.0,4.0,1.0,51.0,0.0,1.0,17.0,4.0,0.0,71.0,2.0,0.0,4.0,1.0,51.0,,,,,,,,,,,,107.0,64.0,55.0,33.0,5.0,3.0,0.0,0.0,31.0,41.0,45.0,100.0,100.0,51.0,51.0,2.0,67.0,94.0,70.0,70.0,1.0,,4764.0
244,Emory University,17475.0,4602.0,1363.0,76.0,45.0,620.0,710.0,650.0,750.0,640.0,730.0,29.0,32.0,12660.0,11328.0,1332.0,5852.0,5754.0,98.0,1853.0,1853.0,0.0,6808.0,5574.0,1234.0,427.0,26.0,30.0,39158.0,41164.0,42980.0,44008.0,59908.0,59908.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Suburb: Large,Research Universities (very high research activity),14513.0,13181.0,1332.0,7836.0,6677.0,7676.0,160.0,0.0,16.0,10.0,6.0,0.0,45.0,2.0,6.0,15.0,16.0,56.0,0.0,22.0,9.0,6.0,0.0,40.0,3.0,4.0,16.0,22.0,57.0,0.0,9.0,11.0,5.0,0.0,51.0,1.0,8.0,15.0,9.0,56.0,336.0,18.0,1216.0,66.0,300.0,16.0,1.0,0.0,84.0,89.0,91.0,53.0,47.0,19.0,19.0,6.0,18.0,45.0,35.0,35.0,6.0,,382343.0
245,Fort Valley State University,4076.0,1334.0,624.0,63.0,50.0,380.0,460.0,370.0,450.0,,,,,3144.0,2826.0,318.0,2833.0,2545.0,288.0,515.0,502.0,13.0,311.0,281.0,30.0,0.0,33.0,47.0,5562.0,6030.0,6180.0,6438.0,20725.0,32927.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,Yes,No,Town: Fringe,Baccalaureate Colleges--Diverse Fields,3180.0,2695.0,485.0,2858.0,322.0,2570.0,288.0,0.0,0.0,96.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,97.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,2.0,87.0,1.0,0.0,8.0,0.0,2.0,0.0,2.0,82.0,520.0,97.0,17.0,3.0,1.0,0.0,0.0,0.0,8.0,22.0,30.0,97.0,88.0,83.0,83.0,13.0,25.0,7.0,88.0,88.0,1.0,1782.0,
246,Georgia Institute of Technology-Main Campus,14645.0,8045.0,3044.0,88.0,53.0,600.0,700.0,660.0,760.0,610.0,700.0,28.0,32.0,21474.0,18746.0,2728.0,14559.0,13292.0,1267.0,2672.0,2668.0,4.0,6915.0,5454.0,1461.0,0.0,55.0,38.0,8716.0,9652.0,10098.0,10650.0,23384.0,42688.0,Georgia,Georgia,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Research Universities (very high research activity),21471.0,18743.0,2728.0,14558.0,6913.0,13291.0,1267.0,0.0,15.0,6.0,6.0,0.0,50.0,3.0,0.0,21.0,15.0,31.0,0.0,18.0,6.0,6.0,0.0,55.0,3.0,1.0,11.0,18.0,33.0,0.0,8.0,4.0,4.0,0.0,40.0,2.0,0.0,41.0,8.0,26.0,1424.0,53.0,894.0,33.0,324.0,12.0,31.0,1.0,41.0,76.0,82.0,72.0,67.0,14.0,14.0,1.0,50.0,28.0,31.0,30.0,6.0,77288.0,
